feature,lr_importance,lr_rank,gb_importance,gb_rank
cp,2.446817552884369,1,0.4269893121021194,1
thal,1.4819689000886482,2,0.04671470876424364,7
sex,1.3039627755742074,3,0.08915126374738025,5
exang,0.7700491283607952,4,0.10318572853087349,2
restecg,0.5249186205240098,5,0.0030803052060844553,12
oldpeak,0.4769619256451303,6,0.09127102605892835,3
thalach,0.3955837234307442,7,0.09023792797087406,4
age,0.2929894877678425,8,0.08349191905056791,6
slope,0.23911849218809694,9,0.003205805645414922,11
chol,0.21437771050481186,10,0.04624745243723246,8
fbs,0.20140419026690648,11,0.0039010808975290428,10
trestbps,0.012430305859099745,12,0.012523469588752128,9
